Champion,wr,wrdelta,rankwr,Pick Rate,Ban Rate,PBI Index,lane,games,rank,wrdiff,PBIno
Kalista,46.19,0.76,50.18,1.17,0.29,-5.0,bottom lane,28358.0,GOLD,-3.990000000000002,-1.2531328320801998
Akali,48.99,0.42,50.18,7.7,17.24,-11.0,middle lane,186980.0,GOLD,-1.1899999999999977,-9.243697478991614
Kha'Zix,47.84,0.1,50.18,4.21,2.26,-10.0,jungle lane,102172.0,GOLD,-2.3399999999999963,-4.2735042735042805
Rakan,49.62,0.33,50.18,2.08,0.26,-1.0,support lane,50504.0,GOLD,-0.5600000000000023,-1.7857142857142785
Rengar,45.18,-0.1,50.18,2.82,2.07,-14.0,jungle lane,68426.0,GOLD,-5.0,-2.8
Aatrox,48.98,-0.11,50.18,4.76,7.6,-6.0,top lane,115599.0,GOLD,-1.2000000000000028,-4.9999999999999885
Sylas,49.12,0.45,50.18,6.15,10.92,-7.0,middle lane,149359.0,GOLD,-1.0600000000000023,-6.603773584905646
Elise,48.94,-0.19,50.18,1.24,0.57,-2.0,jungle lane,30216.0,GOLD,-1.240000000000002,-1.612903225806449
Renata Glasc,50.85,0.04,50.18,0.69,0.15,0.0,support lane,16818.0,GOLD,0.6700000000000017,0.0
Akshan,48.95,0.12,50.18,1.92,1.41,-2.0,middle lane,46606.0,GOLD,-1.2299999999999969,-1.6260162601626058
Jayce,47.04,-0.18,50.18,2.56,1.83,-8.0,top lane,62244.0,GOLD,-3.1400000000000006,-2.547770700636942
Heimerdinger,50.59,0.7,50.18,1.71,3.92,1.0,top lane,41478.0,GOLD,0.4100000000000037,2.4390243902438806
Nidalee,45.53,0.58,50.18,1.17,0.35,-5.0,jungle lane,28420.0,GOLD,-4.649999999999999,-1.0752688172043015
Ivern,48.39,0.11,50.18,0.73,0.25,-1.0,jungle lane,17750.0,GOLD,-1.7899999999999991,-0.5586592178770953
Hwei,50.16,-0.11,50.18,2.92,1.43,0.0,middle lane,70937.0,GOLD,-0.020000000000003126,0.0
Twisted Fate,49.51,-0.19,50.18,3.04,0.41,-2.0,middle lane,73698.0,GOLD,-0.6700000000000017,-2.985074626865664
Sejuani,50.26,0.15,50.18,2.09,0.25,0.0,jungle lane,50660.0,GOLD,0.0799999999999983,0.0
Alistar,49.32,-0.06,50.18,2.8,1.12,-2.0,support lane,68050.0,GOLD,-0.8599999999999994,-2.3255813953488387
Orianna,46.87,-0.14,50.18,2.85,0.56,-9.0,middle lane,69312.0,GOLD,-3.3100000000000023,-2.719033232628397
Volibear,50.69,0.2,50.18,4.3,4.03,2.0,top lane,104469.0,GOLD,0.509999999999998,3.9215686274509958
Zac,49.45,0.03,50.18,1.91,0.64,-1.0,jungle lane,46357.0,GOLD,-0.7299999999999969,-1.369863013698636
Renekton,50.1,0.19,50.18,4.71,2.93,0.0,top lane,114352.0,GOLD,-0.0799999999999983,0.0
Nasus,50.01,-0.09,50.18,4.48,4.98,-1.0,top lane,108862.0,GOLD,-0.1700000000000017,-5.8823529411764115
LeBlanc,48.6,0.13,50.18,3.86,12.38,-7.0,middle lane,93690.0,GOLD,-1.5799999999999983,-4.430379746835448
Skarner,47.29,0.4,50.18,0.62,0.18,-2.0,jungle lane,15173.0,GOLD,-2.8900000000000006,-0.6920415224913493
Swain,49.17,0.24,50.18,4.87,5.56,-5.0,support lane,118200.0,GOLD,-1.009999999999998,-4.95049504950496
Darius,48.5,0.43,50.18,8.32,16.97,-17.0,top lane,202136.0,GOLD,-1.6799999999999997,-10.11904761904762
Kindred,47.94,0.4,50.18,2.45,0.75,-6.0,jungle lane,59483.0,GOLD,-2.240000000000002,-2.678571428571426
Camille,48.35,0.24,50.18,1.63,0.56,-3.0,top lane,39502.0,GOLD,-1.8299999999999983,-1.6393442622950836
Neeko,48.5,0.68,50.18,2.18,1.16,-4.0,support lane,52937.0,GOLD,-1.6799999999999997,-2.3809523809523814
Fiora,48.94,0.13,50.18,2.6,2.5,-3.0,top lane,63159.0,GOLD,-1.240000000000002,-2.4193548387096735
Evelynn,49.28,-0.05,50.18,2.09,1.6,-2.0,jungle lane,50721.0,GOLD,-0.8999999999999986,-2.222222222222226
Rumble,47.6,0.18,50.18,1.93,0.75,-5.0,top lane,46824.0,GOLD,-2.5799999999999983,-1.9379844961240322
Tahm Kench,49.67,0.18,50.18,3.68,4.98,-2.0,support lane,89333.0,GOLD,-0.509999999999998,-3.9215686274509958
Gwen,49.05,0.45,50.18,2.15,2.29,-2.0,top lane,52255.0,GOLD,-1.1300000000000026,-1.7699115044247749
Aurora,48.24,0.12,50.18,2.69,2.06,-5.0,middle lane,65296.0,GOLD,-1.9399999999999977,-2.577319587628869
Taliyah,46.07,-0.28,50.18,0.8,0.15,-3.0,middle lane,19526.0,GOLD,-4.109999999999999,-0.7299270072992702
Cassiopeia,48.1,0.39,50.18,1.05,0.87,-2.0,middle lane,25383.0,GOLD,-2.0799999999999983,-0.9615384615384623
Zaahen,49.19,0.3,50.18,1.99,2.81,-2.0,top lane,48381.0,GOLD,-0.990000000000002,-2.0202020202020163
Yuumi,48.68,-0.08,50.18,4.22,3.67,-7.0,support lane,102560.0,GOLD,-1.5,-4.666666666666667
Galio,48.96,0.15,50.18,2.83,1.41,-4.0,middle lane,68811.0,GOLD,-1.2199999999999989,-3.278688524590167
Zoe,47.57,0.36,50.18,2.58,2.59,-7.0,middle lane,62542.0,GOLD,-2.6099999999999994,-2.6819923371647514
Kassadin,48.72,-0.05,50.18,1.39,0.87,-2.0,middle lane,33650.0,GOLD,-1.4600000000000009,-1.3698630136986294
K'Sante,46.06,0.19,50.18,2.45,1.47,-10.0,top lane,59596.0,GOLD,-4.119999999999997,-2.427184466019419
Kennen,46.65,0.0,50.18,1.82,1.33,-7.0,top lane,44235.0,GOLD,-3.530000000000001,-1.983002832861189
Ryze,47.33,-0.15,50.18,2.36,0.55,-7.0,middle lane,57203.0,GOLD,-2.8500000000000014,-2.4561403508771917
Cho'Gath,49.55,0.2,50.18,2.74,1.06,-2.0,top lane,66482.0,GOLD,-0.6300000000000026,-3.1746031746031615
Quinn,48.24,0.72,50.18,1.3,1.17,-3.0,top lane,31524.0,GOLD,-1.9399999999999977,-1.5463917525773214
Trundle,49.61,0.27,50.18,1.88,0.67,-1.0,top lane,45698.0,GOLD,-0.5700000000000003,-1.7543859649122797
Gragas,46.65,-0.17,50.18,1.71,0.4,-6.0,top lane,41610.0,GOLD,-3.530000000000001,-1.6997167138810192
Mel,46.4,0.23,50.18,5.15,35.81,-30.0,middle lane,124969.0,GOLD,-3.780000000000001,-7.936507936507934
Azir,46.16,0.24,50.18,1.68,0.37,-7.0,middle lane,40701.0,GOLD,-4.020000000000003,-1.7412935323383072
Gnar,48.13,0.3,50.18,2.91,0.89,-6.0,top lane,70542.0,GOLD,-2.049999999999997,-2.926829268292687
Xin Zhao,50.42,-0.51,49.75,7.47,4.6,5.0,jungle lane,148954.0,SILVER,0.6700000000000017,7.46268656716416
Nami,51.17,-0.69,49.75,6.31,1.67,9.0,support lane,125772.0,SILVER,1.4200000000000017,6.338028169014077
Naafiri,53.68,-0.35,49.75,5.44,21.93,27.0,middle lane,108379.0,SILVER,3.9299999999999997,6.870229007633588
Singed,52.59,-0.8,49.75,2.24,1.08,6.0,top lane,44639.0,SILVER,2.8400000000000034,2.112676056338026
Seraphine,52.45,0.04,49.75,13.32,6.64,39.0,support lane,265568.0,SILVER,2.700000000000003,14.444444444444429
Jinx,50.45,-0.15,49.75,12.91,4.95,10.0,bottom lane,257399.0,SILVER,0.7000000000000028,14.285714285714228
Xerath,52.26,-0.1,49.75,4.88,11.99,14.0,middle lane,97397.0,SILVER,2.509999999999998,5.577689243027893
Kayn,50.8,-0.1,49.75,9.97,6.05,11.0,jungle lane,198751.0,SILVER,1.0499999999999972,10.476190476190505
Smolder,54.29,-0.57,49.75,13.96,9.74,70.0,bottom lane,278410.0,SILVER,4.539999999999999,15.418502202643175
Vladimir,50.56,-0.65,49.75,3.03,3.09,3.0,middle lane,60398.0,SILVER,0.8100000000000023,3.7037037037036935
Soraka,51.6,-0.12,49.75,3.74,2.03,7.0,support lane,74512.0,SILVER,1.8500000000000014,3.7837837837837807
Viego,50.01,-0.07,49.75,9.88,9.54,3.0,jungle lane,197018.0,SILVER,0.259999999999998,11.538461538461627
Master Yi,50.17,0.13,49.75,11.55,21.47,6.0,jungle lane,230306.0,SILVER,0.4200000000000017,14.285714285714228
Irelia,50.2,0.05,49.75,3.59,10.43,2.0,top lane,71529.0,SILVER,0.45000000000000284,4.444444444444416
Rell,51.05,-0.22,49.75,2.3,0.79,3.0,support lane,45822.0,SILVER,1.2999999999999972,2.307692307692313
Nocturne,51.94,-0.29,49.75,9.38,15.13,24.0,jungle lane,186968.0,SILVER,2.1899999999999977,10.958904109589053
Lux,50.51,0.13,49.75,16.06,18.47,15.0,support lane,320289.0,SILVER,0.759999999999998,19.73684210526321
Garen,52.27,-0.03,49.75,10.52,10.25,30.0,top lane,209830.0,SILVER,2.520000000000003,11.90476190476189
Yone,50.83,0.34,49.75,8.88,8.48,10.0,middle lane,177134.0,SILVER,1.0799999999999983,9.259259259259274
Olaf,50.25,0.47,49.75,2.22,1.76,1.0,top lane,44186.0,SILVER,0.5,2.0
Milio,51.81,-0.51,49.75,3.84,2.11,8.0,support lane,76489.0,SILVER,2.0600000000000023,3.8834951456310636
Sona,51.42,-0.47,49.75,2.79,0.29,5.0,support lane,55675.0,SILVER,1.6700000000000017,2.994011976047901
Shyvana,53.63,-0.44,49.75,7.72,9.94,33.0,jungle lane,153949.0,SILVER,3.8800000000000026,8.505154639175252
Ashe,50.44,-0.28,49.75,16.25,9.2,12.0,bottom lane,323972.0,SILVER,0.6899999999999977,17.391304347826143
Aurelion Sol,50.98,-0.54,49.75,2.47,1.15,3.0,middle lane,49310.0,SILVER,1.2299999999999969,2.4390243902439086
Vel'Koz,51.26,-0.09,49.75,3.29,1.74,5.0,support lane,65556.0,SILVER,1.509999999999998,3.3112582781457
Sion,51.48,-0.38,49.75,3.52,1.28,6.0,top lane,70214.0,SILVER,1.7299999999999969,3.4682080924855554
Brand,52.54,-0.45,49.75,7.22,12.17,23.0,support lane,143933.0,SILVER,2.789999999999999,8.243727598566311
Warwick,52.45,0.4,49.75,8.18,8.19,24.0,jungle lane,163114.0,SILVER,2.700000000000003,8.88888888888888
Dr. Mundo,51.13,-0.16,49.75,4.12,8.0,6.0,top lane,82067.0,SILVER,1.3800000000000026,4.3478260869565135
Zyra,51.13,-0.35,49.75,4.59,4.47,7.0,support lane,91577.0,SILVER,1.3800000000000026,5.072463768115933
Zilean,50.75,-0.26,49.75,1.44,0.5,1.0,support lane,28699.0,SILVER,1.0,1.0
Samira,50.43,-0.23,49.75,6.19,12.9,5.0,bottom lane,123461.0,SILVER,0.6799999999999997,7.352941176470591
Diana,50.79,0.08,49.75,4.31,5.57,5.0,middle lane,85991.0,SILVER,1.0399999999999991,4.807692307692312
Kayle,51.06,0.06,49.75,3.45,2.56,5.0,top lane,68846.0,SILVER,1.3100000000000023,3.8167938931297645
Lissandra,50.05,-0.72,49.75,2.93,1.73,1.0,middle lane,58411.0,SILVER,0.29999999999999716,3.333333333333365
Briar,52.71,-0.27,49.75,6.35,14.9,22.0,jungle lane,126667.0,SILVER,2.960000000000001,7.432432432432431
Miss Fortune,51.37,0.19,49.75,18.69,8.13,33.0,bottom lane,372709.0,SILVER,1.6199999999999974,20.370370370370402
Mordekaiser,52.25,0.06,49.75,9.89,16.92,30.0,top lane,197128.0,SILVER,2.5,12.0
Viktor,50.97,-0.97,49.75,4.35,2.36,5.0,middle lane,86772.0,SILVER,1.2199999999999989,4.098360655737709
Malphite,51.22,-0.4,49.75,7.01,15.31,12.0,top lane,139847.0,SILVER,1.4699999999999989,8.163265306122454
Jarvan IV,49.86,-0.36,49.75,3.86,0.72,0.0,jungle lane,77015.0,SILVER,0.10999999999999943,0.0
Tryndamere,50.55,-0.12,49.75,4.14,3.45,3.0,top lane,82604.0,SILVER,0.7999999999999972,3.7500000000000133
Graves,49.21,-0.93,49.75,6.63,5.29,-4.0,jungle lane,132179.0,SILVER,-0.5399999999999991,-7.407407407407419
Karthus,48.57,-0.65,49.75,1.21,0.31,-1.0,jungle lane,24217.0,SILVER,-1.1799999999999997,-0.8474576271186443
Kog'Maw,51.84,-0.16,49.75,1.4,0.4,3.0,bottom lane,27890.0,SILVER,2.0900000000000034,1.435406698564591
Ekko,49.86,-0.1,49.75,3.15,1.94,0.0,middle lane,62733.0,SILVER,0.10999999999999943,0.0
Janna,50.54,0.18,49.75,1.22,0.17,1.0,support lane,24360.0,SILVER,0.7899999999999991,1.265822784810128
Vayne,49.43,-0.25,49.75,7.27,11.76,-3.0,bottom lane,144951.0,SILVER,-0.3200000000000003,-9.374999999999991
Leona,51.02,-0.49,49.75,8.41,10.11,12.0,support lane,167685.0,SILVER,1.2700000000000031,9.448818897637771
Twitch,50.29,-0.26,49.75,4.75,8.01,3.0,bottom lane,94690.0,SILVER,0.5399999999999991,5.555555555555564
Sett,52.0,0.06,49.75,8.11,5.15,19.0,top lane,161705.0,SILVER,2.25,8.444444444444445
Jhin,49.28,-0.46,49.75,15.91,4.43,-8.0,bottom lane,317319.0,SILVER,-0.46999999999999886,-17.021276595744723
Lillia,51.73,-0.07,49.75,3.7,2.22,7.0,jungle lane,73718.0,SILVER,1.9799999999999969,3.535353535353541
Teemo,51.86,0.0,49.75,9.31,19.09,24.0,top lane,185667.0,SILVER,2.1099999999999994,11.374407582938392
Draven,47.23,-0.44,49.75,3.15,7.42,-9.0,bottom lane,62801.0,SILVER,-2.520000000000003,-3.571428571428567
Nilah,53.07,-0.09,49.75,1.27,1.99,4.0,bottom lane,25391.0,SILVER,3.3200000000000003,1.2048192771084336
Caitlyn,49.52,-0.46,49.75,21.66,30.65,-7.0,bottom lane,431920.0,SILVER,-0.22999999999999687,-30.434782608696064
Zed,49.39,-0.28,49.75,8.34,24.21,-4.0,middle lane,166350.0,SILVER,-0.35999999999999943,-11.111111111111128
Kled,50.46,-0.33,49.75,1.09,0.71,1.0,top lane,21641.0,SILVER,0.7100000000000009,1.4084507042253505
Ezreal,46.77,-0.56,49.75,14.28,6.46,-45.0,bottom lane,284730.0,SILVER,-2.979999999999997,-15.100671140939614
Thresh,49.14,-0.39,49.75,8.54,3.39,-5.0,support lane,170196.0,SILVER,-0.6099999999999994,-8.196721311475418
Karma,48.85,-0.56,49.75,4.09,2.61,-4.0,support lane,81632.0,SILVER,-0.8999999999999986,-4.444444444444452
Veigar,52.64,0.14,49.75,8.13,4.84,25.0,middle lane,162207.0,SILVER,2.8900000000000006,8.650519031141867
Lucian,47.11,-0.34,49.75,5.85,1.82,-16.0,bottom lane,116691.0,SILVER,-2.6400000000000006,-6.06060606060606
Jax,49.69,-0.54,49.75,5.33,9.19,0.0,top lane,106283.0,SILVER,-0.060000000000002274,0.0
Ambessa,47.02,-0.86,49.75,1.81,3.68,-5.0,jungle lane,36013.0,SILVER,-2.729999999999997,-1.8315018315018337
Yunara,47.06,-0.23,49.75,4.25,1.96,-12.0,bottom lane,84692.0,SILVER,-2.6899999999999977,-4.460966542750933
Urgot,51.06,0.14,49.75,2.81,1.76,4.0,top lane,55971.0,SILVER,1.3100000000000023,3.0534351145038117
Ahri,49.57,-0.03,49.75,9.81,4.62,-2.0,middle lane,195566.0,SILVER,-0.17999999999999972,-11.111111111111128
Ziggs,51.42,-0.32,49.75,1.65,0.9,3.0,bottom lane,32946.0,SILVER,1.6700000000000017,1.7964071856287407
Yasuo,49.61,-0.15,49.75,11.59,20.94,-2.0,middle lane,231152.0,SILVER,-0.14000000000000057,-14.285714285714228
Rek'Sai,47.32,-0.16,49.75,0.76,0.46,-2.0,jungle lane,15250.0,SILVER,-2.4299999999999997,-0.8230452674897121
Lee Sin,46.85,-0.7,49.75,8.94,10.33,-29.0,jungle lane,178185.0,SILVER,-2.8999999999999986,-10.000000000000005
Yorick,52.16,-0.23,49.75,6.55,15.17,19.0,top lane,130637.0,SILVER,2.4099999999999966,7.883817427385903
Fizz,51.06,-0.34,49.75,6.24,11.12,9.0,middle lane,124420.0,SILVER,1.3100000000000023,6.870229007633576
Nautilus,48.96,-0.38,49.75,9.89,12.56,-9.0,support lane,197283.0,SILVER,-0.7899999999999991,-11.392405063291152
Kai'Sa,47.5,-0.63,49.75,11.23,2.07,-26.0,bottom lane,223963.0,SILVER,-2.25,-11.555555555555555
Rammus,52.89,-0.45,49.75,2.93,6.58,10.0,jungle lane,58435.0,SILVER,3.1400000000000006,3.1847133757961776
Pantheon,48.58,-0.37,49.75,4.38,2.4,-5.0,support lane,87322.0,SILVER,-1.1700000000000017,-4.273504273504267
Aphelios,48.46,-0.7,49.75,2.97,1.76,-4.0,bottom lane,59163.0,SILVER,-1.2899999999999991,-3.1007751937984516
Taric,53.3,0.81,49.75,1.02,0.23,4.0,support lane,20303.0,SILVER,3.549999999999997,1.1267605633802826
Ornn,50.63,-0.3,49.75,2.98,0.7,3.0,top lane,59410.0,SILVER,0.8800000000000026,3.4090909090908994
Sivir,48.93,-0.14,49.75,2.94,1.65,-2.0,bottom lane,58568.0,SILVER,-0.8200000000000003,-2.4390243902439015
Anivia,49.69,-0.33,49.75,2.05,1.71,0.0,middle lane,40801.0,SILVER,-0.060000000000002274,0.0
Poppy,50.24,-0.56,49.75,1.45,0.89,1.0,support lane,28877.0,SILVER,0.490000000000002,2.040816326530604
Bard,48.17,-0.08,49.75,2.4,0.67,-4.0,support lane,47865.0,SILVER,-1.5799999999999983,-2.531645569620256
Morgana,50.98,-0.11,49.75,10.16,26.03,17.0,support lane,202616.0,SILVER,1.2299999999999969,13.821138211382149
Amumu,51.91,-0.6,49.75,4.97,3.15,11.0,jungle lane,99174.0,SILVER,2.1599999999999966,5.0925925925926006
Corki,46.91,-0.36,49.75,1.03,0.3,-3.0,bottom lane,20588.0,SILVER,-2.8400000000000034,-1.056338028169013
Nasus,50.09,0.19,49.75,5.02,4.77,2.0,top lane,100177.0,SILVER,0.3400000000000034,5.8823529411764115
Senna,49.05,-0.05,49.75,4.83,1.25,-3.0,support lane,96362.0,SILVER,-0.7000000000000028,-4.285714285714269
Udyr,48.91,-0.47,49.75,1.67,0.54,-1.0,jungle lane,33337.0,SILVER,-0.8400000000000034,-1.1904761904761856
Varus,47.13,-0.01,49.75,3.9,2.18,-10.0,bottom lane,77861.0,SILVER,-2.6199999999999974,-3.8167938931297747
Illaoi,51.82,0.2,49.75,4.31,11.18,10.0,top lane,85973.0,SILVER,2.0700000000000003,4.8309178743961345
Pyke,48.25,-0.03,49.75,5.9,14.05,-10.0,support lane,117711.0,SILVER,-1.5,-6.666666666666667
Blitzcrank,49.36,0.09,49.75,5.89,14.97,-3.0,support lane,117387.0,SILVER,-0.39000000000000057,-7.692307692307681
Bel'Veth,47.88,-0.35,49.75,1.23,0.94,-2.0,jungle lane,24537.0,SILVER,-1.8699999999999974,-1.0695187165775415
Zeri,46.52,-0.55,49.75,1.47,0.23,-5.0,bottom lane,29237.0,SILVER,-3.229999999999997,-1.5479876160990726
Heimerdinger,50.48,0.29,49.75,2.3,6.05,2.0,top lane,45889.0,SILVER,0.7299999999999969,2.739726027397272
Talon,47.6,0.16,49.75,2.38,1.22,-5.0,middle lane,47446.0,SILVER,-2.1499999999999986,-2.3255813953488387
Xayah,49.14,-0.5,49.75,2.92,0.53,-2.0,bottom lane,58244.0,SILVER,-0.6099999999999994,-3.278688524590167
Tristana,47.88,0.14,49.75,6.0,2.97,-12.0,bottom lane,119717.0,SILVER,-1.8699999999999974,-6.417112299465249
Maokai,50.4,-0.18,49.75,2.15,0.32,1.0,support lane,42879.0,SILVER,0.6499999999999986,1.5384615384615419
Hecarim,43.97,0.07,49.75,2.06,0.68,-12.0,jungle lane,41098.0,SILVER,-5.780000000000001,-2.076124567474048
Fiddlesticks,49.55,-0.39,49.75,2.11,0.76,0.0,jungle lane,42010.0,SILVER,-0.20000000000000284,0.0
Malzahar,51.84,-0.64,49.75,9.95,20.49,26.0,middle lane,198394.0,SILVER,2.0900000000000034,12.44019138755979
Shen,49.59,-0.74,49.75,2.74,0.83,0.0,top lane,54539.0,SILVER,-0.1599999999999966,0.0
Lulu,48.24,-0.53,49.75,4.78,3.48,-7.0,support lane,95283.0,SILVER,-1.509999999999998,-4.635761589403979
Shaco,48.3,-0.41,49.75,6.8,31.46,-14.0,jungle lane,135615.0,SILVER,-1.4500000000000028,-9.655172413793084
Wukong,50.03,-0.34,49.75,2.07,0.46,1.0,jungle lane,41241.0,SILVER,0.28000000000000114,3.571428571428557
Qiyana,45.47,-0.12,49.75,1.36,0.35,-6.0,middle lane,27135.0,SILVER,-4.280000000000001,-1.4018691588785044
Kha'Zix,46.59,-0.54,49.75,3.74,1.92,-12.0,jungle lane,74651.0,SILVER,-3.1599999999999966,-3.797468354430384
Kalista,45.27,-0.73,49.75,1.13,0.36,-5.0,bottom lane,22458.0,SILVER,-4.479999999999997,-1.1160714285714293
Katarina,47.87,-0.31,49.75,5.74,6.21,-12.0,middle lane,114502.0,SILVER,-1.8800000000000026,-6.382978723404246
Rengar,44.21,0.05,49.75,2.42,1.45,-14.0,jungle lane,48197.0,SILVER,-5.539999999999999,-2.5270758122743686
Gangplank,49.0,-0.79,49.75,2.82,2.08,-2.0,top lane,56176.0,SILVER,-0.75,-2.6666666666666665
Swain,49.64,-0.21,49.75,5.48,6.7,-1.0,support lane,109181.0,SILVER,-0.10999999999999943,-9.090909090909138
Elise,47.92,-0.42,49.75,0.98,0.41,-2.0,jungle lane,19552.0,SILVER,-1.8299999999999983,-1.092896174863389
Akali,48.3,0.09,49.75,8.47,16.64,-15.0,middle lane,168906.0,SILVER,-1.4500000000000028,-10.344827586206875
Aatrox,48.05,-0.22,49.75,4.31,6.74,-8.0,top lane,85929.0,SILVER,-1.7000000000000028,-4.705882352941169
Nidalee,43.87,-0.21,49.75,0.98,0.29,-6.0,jungle lane,19492.0,SILVER,-5.880000000000003,-1.0204081632653057
Volibear,50.46,-0.35,49.75,4.35,4.32,3.0,top lane,86674.0,SILVER,0.7100000000000009,4.225352112676052
Ivern,46.94,-0.44,49.75,0.6,0.24,-2.0,jungle lane,11978.0,SILVER,-2.8100000000000023,-0.7117437722419923
Jayce,45.61,-0.62,49.75,2.05,1.35,-9.0,top lane,40872.0,SILVER,-4.140000000000001,-2.1739130434782608
Renata Glasc,50.0,-0.16,49.75,0.61,0.15,0.0,support lane,12233.0,SILVER,0.25,0.0
Zac,48.74,-0.71,49.75,1.75,0.5,-2.0,jungle lane,34959.0,SILVER,-1.009999999999998,-1.9801980198019842
Darius,47.6,-0.02,49.75,8.96,17.52,-23.0,top lane,178589.0,SILVER,-2.1499999999999986,-10.697674418604658
Vi,49.72,-0.16,49.75,4.91,0.97,0.0,jungle lane,97826.0,SILVER,-0.030000000000001137,0.0
Sylas,48.3,-0.16,49.75,6.27,10.45,-10.0,middle lane,124936.0,SILVER,-1.4500000000000028,-6.896551724137917
Skarner,46.14,-0.68,49.75,0.61,0.17,-2.0,jungle lane,12078.0,SILVER,-3.6099999999999994,-0.554016620498615
Riven,45.6,-0.49,49.75,2.27,0.67,-9.0,top lane,45213.0,SILVER,-4.149999999999999,-2.1686746987951815
Syndra,49.33,-0.91,49.75,2.72,1.85,-1.0,middle lane,54335.0,SILVER,-0.4200000000000017,-2.380952380952371
Rakan,48.68,-0.14,49.75,1.96,0.28,-2.0,support lane,39152.0,SILVER,-1.0700000000000003,-1.8691588785046724
LeBlanc,48.1,-0.26,49.75,3.71,11.52,-7.0,middle lane,74001.0,SILVER,-1.6499999999999986,-4.242424242424246
Rumble,46.98,-0.41,49.75,1.71,0.64,-5.0,top lane,34150.0,SILVER,-2.770000000000003,-1.8050541516245466
Kindred,47.1,-0.05,49.75,2.62,0.68,-7.0,jungle lane,52297.0,SILVER,-2.6499999999999986,-2.641509433962266
Braum,49.55,-0.43,49.75,5.0,2.53,-1.0,support lane,99652.0,SILVER,-0.20000000000000284,-4.999999999999929
Orianna,46.61,-0.43,49.75,2.54,0.58,-8.0,middle lane,50724.0,SILVER,-3.1400000000000006,-2.547770700636942
Alistar,48.49,-0.66,49.75,2.51,0.99,-3.0,support lane,50028.0,SILVER,-1.259999999999998,-2.380952380952385
Vex,50.1,0.16,49.75,3.94,4.32,1.0,middle lane,78611.0,SILVER,0.3500000000000014,2.8571428571428457
Evelynn,48.71,0.09,49.75,2.12,1.38,-2.0,jungle lane,42227.0,SILVER,-1.0399999999999991,-1.9230769230769247
Fiora,47.73,-0.16,49.75,2.44,2.09,-5.0,top lane,48697.0,SILVER,-2.020000000000003,-2.4752475247524712
Neeko,48.2,0.16,49.75,2.76,1.44,-4.0,support lane,55036.0,SILVER,-1.5499999999999972,-2.5806451612903274
Hwei,49.91,0.01,49.75,2.58,1.23,0.0,middle lane,51432.0,SILVER,0.1599999999999966,0.0
Sejuani,49.5,-0.63,49.75,1.97,0.25,0.0,jungle lane,39357.0,SILVER,-0.25,0.0
Akshan,47.33,-0.4,49.75,1.73,1.29,-4.0,middle lane,34530.0,SILVER,-2.4200000000000017,-1.65289256198347
Twisted Fate,48.36,-0.42,49.75,2.44,0.3,-3.0,middle lane,48676.0,SILVER,-1.3900000000000006,-2.158273381294963
Camille,46.44,-0.16,49.75,1.28,0.47,-4.0,top lane,25472.0,SILVER,-3.3100000000000023,-1.2084592145015098
Trundle,50.06,-0.19,49.75,2.26,0.87,1.0,top lane,45134.0,SILVER,0.3100000000000023,3.2258064516128795
Aurora,48.26,-0.08,49.75,2.56,1.86,-4.0,middle lane,51123.0,SILVER,-1.490000000000002,-2.6845637583892583
Renekton,49.87,-0.3,49.75,4.49,2.76,1.0,top lane,89531.0,SILVER,0.11999999999999744,8.333333333333512
Nunu & Willump,47.87,-0.15,49.75,1.97,0.46,-4.0,jungle lane,39223.0,SILVER,-1.8800000000000026,-2.1276595744680824
Galio,48.77,-0.34,49.75,2.99,1.59,-3.0,middle lane,59532.0,SILVER,-0.9799999999999969,-3.061224489795928
Zaahen,48.47,-0.05,49.75,1.99,2.4,-3.0,top lane,39713.0,SILVER,-1.2800000000000011,-2.343749999999998
Taliyah,45.75,0.21,49.75,0.69,0.12,-3.0,middle lane,13741.0,SILVER,-4.0,-0.75
Tahm Kench,49.16,-0.04,49.75,4.21,5.74,-3.0,support lane,84014.0,SILVER,-0.5900000000000034,-5.084745762711835
Gwen,47.84,-0.16,49.75,2.29,1.99,-4.0,top lane,45581.0,SILVER,-1.9099999999999966,-2.0942408376963386
Cassiopeia,47.3,-0.16,49.75,1.03,0.78,-3.0,middle lane,20466.0,SILVER,-2.450000000000003,-1.2244897959183658
Annie,49.6,-0.67,49.75,2.51,0.95,0.0,middle lane,50101.0,SILVER,-0.14999999999999858,0.0
K'Sante,45.13,-0.2,49.75,2.2,1.24,-10.0,top lane,43838.0,SILVER,-4.619999999999997,-2.164502164502166
Kassadin,48.17,-0.04,49.75,1.22,0.64,-2.0,middle lane,24352.0,SILVER,-1.5799999999999983,-1.265822784810128
Kennen,46.45,-0.11,49.75,1.68,1.17,-6.0,top lane,33583.0,SILVER,-3.299999999999997,-1.8181818181818197
Yuumi,48.08,0.02,49.75,4.1,2.93,-7.0,support lane,81804.0,SILVER,-1.6700000000000017,-4.191616766467061
Zoe,46.3,-0.22,49.75,2.53,2.43,-9.0,middle lane,50452.0,SILVER,-3.450000000000003,-2.608695652173911
Ryze,47.36,-0.13,49.75,2.1,0.5,-5.0,middle lane,41782.0,SILVER,-2.3900000000000006,-2.0920502092050204
Cho'Gath,49.61,0.01,49.75,2.99,1.24,0.0,top lane,59671.0,SILVER,-0.14000000000000057,0.0
